"Entry" "Name" "Uniprot_id"
4932 "Non-alcoholic fatty liver disease (NAFLD)" "P17861"
5016 "Huntington's disease" "O96015"
562 "Inositol phosphate metabolism" "Q9UGB7"
53 "Ascorbate and aldarate metabolism" "Q9UGB7"
4066 "HIF-1 signaling pathway" "P09601"
860 "Porphyrin and chlorophyll metabolism" "P09601"
4978 "Mineral absorption" "P09601"
5206 "MicroRNAs in cancer" "P09601"
4110 "Cell cycle" "P33992"
3030 "DNA replication" "P33992"
4142 "Lysosome" "P15289"
600 "Sphingolipid metabolism" "P15289"
5145 "Toxoplasmosis" "Q15750"
4380 "Osteoclast differentiation" "Q15750"
4064 "NF-kappa B signaling pathway" "Q15750"
5169 "Epstein-Barr virus infection" "Q15750"
4010 "MAPK signaling pathway" "Q15750"
5168 "Herpes simplex infection" "Q15750"
5140 "Leishmaniasis" "Q15750"
4620 "Toll-like receptor signaling pathway" "Q15750"
